"","code_id","type_id","group_id","code_name","group_name","specific_type_id"
"182","90827","CPT","CT19304","Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an inpatient hospital, partial hospital or residential care setting, approximately 45 to 50 minut","Psychiatry Services",""
"183","90828","CPT","CT19304","Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an inpatient hospital, partial hospital or residential care setting, approximately 75 to 80 minut","Psychiatry Services",""
"184","90829","CPT","CT19304","Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an inpatient hospital, partial hospital or residential care setting, approximately 75 to 80 minut","Psychiatry Services",""
"185","90832","CPT","CT19304","Psychotherapy, 30 minutes with patient and/or family member","Psychiatry Services",""
"186","90833","CPT","CT19304","Psychotherapy, 30 minutes with patient and/or family member when performed with an evaluation and management service (List separately in addition to the code for primary procedure)","Psychiatry Services",""
"187","90834","CPT","CT19304","Psychotherapy, 45 minutes with patient and/or family member","Psychiatry Services",""
"188","90836","CPT","CT19304","Psychotherapy, 45 minutes with patient and/or family member when performed with an evaluation and management service (List separately in addition to the code for primary procedure)","Psychiatry Services",""
"189","90837","CPT","CT19304","Psychotherapy, 60 minutes with patient and/or family member","Psychiatry Services",""
"190","90838","CPT","CT19304","Psychotherapy, 60 minutes with patient and/or family member when performed with an evaluation and management service (List separately in addition to the code for primary procedure)","Psychiatry Services",""
"191","90839","CPT","CT19304","Psychotherapy for crisis; first 60 minutes","Psychiatry Services",""
"192","90840","CPT","CT19304","Psychotherapy for crisis; each additional 30 minutes (List separately in addition to code for primary service)","Psychiatry Services",""
"193","90845","CPT","CT19304","Psychoanalysis","Psychiatry Services",""
"194","90846","CPT","CT19304","Family psychotherapy (without the patient present)","Psychiatry Services",""
"195","90847","CPT","CT19304","Family psychotherapy (conjoint psychotherapy) (with patient present)","Psychiatry Services",""
"196","90849","CPT","CT19304","Multiple-family group psychotherapy","Psychiatry Services",""
"197","90853","CPT","CT19304","Group psychotherapy (other than of a multiple-family group)","Psychiatry Services",""
"198","90857","CPT","CT19304","Interactive group psychotherapy","Psychiatry Services",""
"199","90862","CPT","CT19304","Pharmacologic management, including prescription, use, and review of medication with no more than minimal medical psychotherapy","Psychiatry Services",""
"200","90863","CPT","CT19304","Pharmacologic management, including prescription and review of medication, when performed with psychotherapy services (List separately in addition to the code for primary procedure)","Psychiatry Services",""
"201","90865","CPT","CT19304","Narcosynthesis for psychiatric diagnostic and therapeutic purposes (eg, sodium amobarbital (Amytal) interview)","Psychiatry Services",""
"202","90875","CPT","CT1901","Individual psychophysiological therapy incorporating biofeedback training by any modality (face-to-face with the patient), with psychotherapy (eg, insight oriented, behavior modifying or supportive psychotherapy); approximately 20-30 minutes","Therapy - behavior - evaluation and therapy",""
"203","90876","CPT","CT1901","Individual psychophysiological therapy incorporating biofeedback training by any modality (face-to-face with the patient), with psychotherapy (eg, insight oriented, behavior modifying or supportive psychotherapy); approximately 45-50 minutes","Therapy - behavior - evaluation and therapy",""
"204","90880","CPT","CT1901","Hypnotherapy","Therapy - behavior - evaluation and therapy",""
"205","90882","CPT","CT19304","Environmental intervention for medical management purposes on a psychiatric patient's behalf with agencies, employers, or institutions","Psychiatry Services",""
"206","90885","CPT","CT19304","Psychiatric evaluation of hospital records, other psychiatric reports, psychometric and/or projective tests, and other accumulated data for medical diagnostic purposes","Psychiatry Services",""
"207","90887","CPT","CT19304","Interpretation or explanation of results of psychiatric, other medical examinations and procedures, or other accumulated data to family or other responsible persons, or advising them how to assist patient","Psychiatry Services",""
"208","90889","CPT","CT19304","Preparation of report of patient's psychiatric status, history, treatment, or progress (other than for legal or consultative purposes) for other physicians, agencies, or insurance carriers","Psychiatry Services",""
"209","90899","CPT","CT19304","Unlisted psychiatric service or procedure","Psychiatry Services",""
"210","G8629","HCPC","XX0000","DOC ANTIBIO ORDER B/4 SURG","Ungrouped Codes",""
"211","G8630","HCPC","XX0000","DOC ANTIBIO GIVEN B/4 SURG","Ungrouped Codes",""
"212","G8631","HCPC","XX0000","PT NO ELG 4 ORDER ANTBI GIVE","Ungrouped Codes",""
"213","G8632","HCPC","XX0000","DOC NO ANTIBI ORDER B/4 SURG","Ungrouped Codes",""
"214","G8633","HCPC","XX0000","PHARM THER OSTEO RX","Ungrouped Codes",""
"215","G8634","HCPC","XX0000","PT NO ELG PHAR THER OSTEO","Ungrouped Codes",""
"216","G8635","HCPC","XX0000","NO PHARM THER OSTEO RX","Ungrouped Codes",""
"217","G8636","HCPC","XX0000","FLU IMMUN ADMIN/PREV REC","Ungrouped Codes",""
"218","G8637","HCPC","XX0000","PT NO ELG RECEIV FLU IMMUN","Ungrouped Codes",""
"219","G8638","HCPC","XX0000","FLU IMMUN NO ADMIN/PREV REC","Ungrouped Codes",""
"220","G8639","HCPC","XX0000","FLU IMMUN ADMIN OR PREV REC","Ungrouped Codes",""
"221","G8640","HCPC","XX0000","PT NO ELG REC FLU IMMUN","Ungrouped Codes",""
"222","G8641","HCPC","XX0000","FLU IMMUN NOT ADMIN/PRE REC","Ungrouped Codes",""
"223","G8642","HCPC","XX0000","HRDSHP RURAL W/O INTERNET","Ungrouped Codes",""
"224","G8643","HCPC","XX0000","HRDSHP W/O SUFF PHARM W/ERX","Ungrouped Codes",""
"225","G8644","HCPC","XX0000","EP NO PRESCRIBE PRIV","Ungrouped Codes",""
"226","G8645","HCPC","XX0000","ASTHMA MEASURES GRP","Ungrouped Codes",""
"227","G8646","HCPC","XX0000","ASTHMA MG QUAL ACT PERFORM","Ungrouped Codes",""
"228","G8647","HCPC","XX0000","FUN STAT SCORE KNEE >= 0","Ungrouped Codes",""
"229","G8648","HCPC","XX0000","FUN STAT SCORE KNEE < 0","Ungrouped Codes",""
"230","G8649","HCPC","XX0000","FUN STAT SCORE KNEE PT NOELG","Ungrouped Codes",""
"231","G8650","HCPC","XX0000","FUN STAT SCORE KNEE NOT DONE","Ungrouped Codes",""
"232","G8651","HCPC","XX0000","FUN STAT SCORE HIP >= 0","Ungrouped Codes",""
"233","G8652","HCPC","XX0000","FUN STAT SCORE HIP < 0","Ungrouped Codes",""
"234","G8653","HCPC","XX0000","FUN STAT SCORE HIP PT NO ELG","Ungrouped Codes",""
"235","G8654","HCPC","XX0000","FUN STAT SCORE HIP NOT DONE","Ungrouped Codes",""
"236","G8655","HCPC","XX0000","FUN STAT SCORE LE >= 0","Ungrouped Codes",""
"237","G8656","HCPC","XX0000","FUN STAT SCORE LE < 0","Ungrouped Codes",""
"238","G8657","HCPC","XX0000","FUN STAT SCORE LE PT NO ELG","Ungrouped Codes",""
"239","G8658","HCPC","XX0000","FUN STAT SCORE LE NOT DONE","Ungrouped Codes",""
"240","G8659","HCPC","XX0000","FUN STAT SCORE LS >= 0","Ungrouped Codes",""
"241","G8660","HCPC","XX0000","FUN STAT SCORE LS < 0","Ungrouped Codes",""
"242","G8661","HCPC","XX0000","FUN STAT SCORE LS PT NO ELG","Ungrouped Codes",""
"243","G8662","HCPC","XX0000","FUN STAT SCORE LS NOT DONE","Ungrouped Codes",""
"244","G8663","HCPC","XX0000","FUN STAT SCORE SHDL >=0","Ungrouped Codes",""
"245","G8664","HCPC","XX0000","FUN STAT SCORE SHDL < 0","Ungrouped Codes",""
"246","G8665","HCPC","XX0000","FUN STAT SCORE SHDL PT NO EL","Ungrouped Codes",""
"247","G8666","HCPC","XX0000","FUN STAT SCORE SHDL NOT DONE","Ungrouped Codes",""
"248","G8667","HCPC","XX0000","FUN STAT SCORE UE >=0","Ungrouped Codes",""
"249","G8668","HCPC","XX0000","FUN STAT SCORE UE < 0","Ungrouped Codes",""
"250","G8669","HCPC","XX0000","FUN STAT SCORE UE PT NO ELG","Ungrouped Codes",""
"251","G8670","HCPC","XX0000","FUN STAT SCORE UE NOT DONE","Ungrouped Codes",""
"252","G8671","HCPC","XX0000","FUN STAT SCORE NECK/TS >=0","Ungrouped Codes",""
"253","G8672","HCPC","XX0000","FUN STAT SCORE NECK/TS < 0","Ungrouped Codes",""
"254","G8673","HCPC","XX0000","FUN STAT SCOR NEK/TS PT NO E","Ungrouped Codes",""
"255","G8674","HCPC","XX0000","FUN STAT SCOR NEK/TS NOT DON","Ungrouped Codes",""
"256","G8675","HCPC","XX0000","BP SYST >= 140 MMHG","Ungrouped Codes",""
"257","G8676","HCPC","XX0000","BP DIAST >= 90 MMHG","Ungrouped Codes",""
"258","G8677","HCPC","XX0000","BP SYST < 130 MMHG","Ungrouped Codes",""
"259","G8678","HCPC","XX0000","BP SYST >=130 - 139 MMHG","Ungrouped Codes",""
"260","G8679","HCPC","XX0000","BP DIAST < 80 MMHG","Ungrouped Codes",""
"261","G8680","HCPC","XX0000","BP DIAST 80-89 MMHG","Ungrouped Codes",""
"262","G8681","HCPC","XX0000","PT HOSP W/HF","Ungrouped Codes",""
"263","G8682","HCPC","XX0000","LVF testing documented as being performed prior to discharge or in the previous 12 months","Ungrouped Codes",""
"264","G8683","HCPC","XX0000","LVF testing not performed prior to discharge or in the previous 12 months for a medical or patient documented reason","Ungrouped Codes",""
"265","G8684","HCPC","XX0000","PT NOT HOSP W/HF","Ungrouped Codes",""
"266","G8685","HCPC","XX0000","LVF testing not documented as being performed prior to discharge or in the previous 12 months, reason not given","Ungrouped Codes",""
"267","G8686","HCPC","CT99310","TOBA SMKR CURR OR 2 HAND EXP","Preventive Medicine, Counseling, Coordination",""
"268","G8687","HCPC","XX0000","NO TOB SMKR CUR NO 2 HND EXP","Ungrouped Codes",""
"269","G8688","HCPC","CT99310","SMKLS TOB CUR; NO 2 HND EXP","Preventive Medicine, Counseling, Coordination",""
"270","G8689","HCPC","XX0000","TOBA USE NOT ASSESS","Ungrouped Codes",""
"271","G8690","HCPC","CT99310","CURR TOBA SMKR OR 2 HAND EXP","Preventive Medicine, Counseling, Coordination",""
"272","G8691","HCPC","XX0000","NO CUR TOB SMKR NO 2 HND EXP","Ungrouped Codes",""
"273","G8692","HCPC","CT99310","CURR SMKLS TOB; NO 2 HND EXP","Preventive Medicine, Counseling, Coordination",""
"274","G8693","HCPC","XX0000","TOBACCO NO ASSESS","Ungrouped Codes",""
"275","G8694","HCPC","XX0000","Left ventricular ejection fraction (LVEF) < 40%","Ungrouped Codes",""
"276","G8695","HCPC","XX0000","Left ventricular ejection fraction (LVEF) >= 40% or documentation as mildly depressed left ventricular systolic function or normal","Ungrouped Codes",""
"277","G8696","HCPC","XX0000","Antithrombotic therapy prescribed at discharge","Ungrouped Codes",""
"278","G8697","HCPC","XX0000","Antithrombotic therapy not prescribed for documented reasons","Ungrouped Codes",""
"279","G8698","HCPC","XX0000","Antithrombotic therapy was not prescribed at discharge, reason not otherwise specified","Ungrouped Codes",""
"280","G8699","HCPC","XX0000","Rehabilitation services (occupational, physical or speech) ordered at or prior to discharge","Ungrouped Codes",""
"281","G8700","HCPC","XX0000","Rehabilitation services (occupational, physical or speech) not indicated at or prior to discharge","Ungrouped Codes",""
"282","G8701","HCPC","XX0000","Rehabilitation services were not ordered, reason not otherwise specified","Ungrouped Codes",""
"283","G8702","HCPC","XX0000","Documentation that prophylactic antibiotics were given within 4 hours prior to surgical incision or intraoperatively","Ungrouped Codes",""
"284","G8703","HCPC","XX0000","Documentation that prophylactic antibiotics were neither given within 4 hours prior to surgical incision nor intraoperatively","Ungrouped Codes",""
"285","G8704","HCPC","XX0000","12-lead electrocardiogram (ECG) performed","Ungrouped Codes",""
"286","G8705","HCPC","XX0000","Documentation of medical reason(s) for not performing a 12-lead electrocardiogram (ECG)","Ungrouped Codes",""
"287","G8706","HCPC","XX0000","Documentation of patient reason(s) for not performing a 12-lead electrocardiogram (ECG)","Ungrouped Codes",""
"288","G8707","HCPC","XX0000","12-lead electrocardiogram (ECG) not performed, reason not otherwise specified","Ungrouped Codes",""
"289","G8708","HCPC","XX0000","Patient not prescribed or dispensed antibiotic","Ungrouped Codes",""
"290","G8709","HCPC","XX0000","Patient prescribed or dispensed antibiotic for documented medical reason(s) (e.g., intestinal infection, pertussis, bacterial infection, lyme disease, otitis media, acute sinusitis, acute pharyngitis, acute tonsillitis, chronic sinusitis, infection o","Ungrouped Codes",""
"291","G8710","HCPC","XX0000","Patient prescribed or dispensed antibiotic","Ungrouped Codes",""
"292","G8711","HCPC","XX0000","Prescribed or dispensed antibiotic","Ungrouped Codes",""
"293","G8712","HCPC","XX0000","Antibiotic not prescribed or dispensed","Ungrouped Codes",""
"294","G8713","HCPC","XX0000","SpKt/V greater than or equal to 1.2 (single-pool clearance of urea [Kt] / volume V])","Ungrouped Codes",""
"295","G8714","HCPC","XX0000","Hemodialysis treatment performed exactly 3 times per week","Ungrouped Codes",""
"296","G8715","HCPC","XX0000","Hemodialysis treatment performed less than 3 times per week or greater than 3 times per week","Ungrouped Codes",""
"297","G8716","HCPC","XX0000","Documentation of reason(s) for patient not having greater than or equal to 1.2 (single-pool clearance of urea [Kt] / volume [V])","Ungrouped Codes",""
"298","G8717","HCPC","XX0000","SpKt/V less than 1.2 (single-pool clearance of urea [Kt] / volume V]), reason not specified","Ungrouped Codes",""
"299","G8718","HCPC","XX0000","Total Kt/V greater than or equal to 1.7 per week (total clearance of urea [Kt] / volume V])","Ungrouped Codes",""
"300","G8720","HCPC","XX0000","Total Kt/V less than 1.7 per week (total clearance of urea [Kt] / volume V]), reason not specified","Ungrouped Codes",""
"301","G8721","HCPC","XX0000","PT category (primary tumor), pN category (regional lymph nodes), and histologic grade were documented in pathology report","Ungrouped Codes",""
"302","G8722","HCPC","XX0000","Documentation of medical reason(s) for not including the PT category, the PN category or the histologic grade in the pathology report (e.g., re-excision without residual tumor; non-carcinomasanal canal)","Ungrouped Codes",""
"303","G8723","HCPC","XX0000","Specimen site is other than anatomic location of primary tumor","Ungrouped Codes",""
"304","G8724","HCPC","XX0000","PT category, pN category and histologic grade were not documented in the pathology report, reason not otherwise specified","Ungrouped Codes",""
"305","G8725","HCPC","XX0000","Fasting lipid profile performed (triglycerides, LDL-C, HDL-C and total cholesterol)","Ungrouped Codes",""
"306","G8726","HCPC","XX0000","Clinician has documented reason for not performing fasting lipid profile","Ungrouped Codes",""
"307","G8727","HCPC","XX0000","Patient receiving hemodialysis, peritoneal dialysis or kidney transplantation","Ungrouped Codes",""
"308","G8728","HCPC","XX0000","Fasting lipid profile not performed, reason not otherwise specified","Ungrouped Codes",""
"309","G8730","HCPC","XX0000","Pain assessment documented as positive using a standardized tool and a follow-up plan is documented","Ungrouped Codes",""
"310","G8731","HCPC","XX0000","Pain assessment using a standardized tool is documented as negative, no follow-up plan required","Ungrouped Codes",""
"311","G8732","HCPC","XX0000","No documentation of pain assessment","Ungrouped Codes",""
"312","G8733","HCPC","XX0000","Elder maltreatment screen documented as positive and a follow-up plan is documented","Ungrouped Codes",""
"313","G8734","HCPC","XX0000","Elder maltreatment screen documented as negative, no follow-up required","Ungrouped Codes",""
"314","G8735","HCPC","XX0000","Elder maltreatment screen documented as positive, follow-up plan not documented, reason not specified","Ungrouped Codes",""
"315","G8736","HCPC","XX0000","Most current LDL-C < 100 mg/dL","Ungrouped Codes",""
"316","G8737","HCPC","XX0000","Most current LDL-C >= 100 mg/dL","Ungrouped Codes",""
"317","G8738","HCPC","XX0000","Left ventricular ejection fraction (LVEF) < 40% or documentation of severely or moderately depressed left ventricular systolic function","Ungrouped Codes",""
"318","G8739","HCPC","XX0000","Left ventricular ejection fraction (LVEF) >= 40% or documentation as normal or mildly depressed left ventricular systolic function","Ungrouped Codes",""
"319","G8740","HCPC","XX0000","Left ventricular ejection fraction (LVEF) not performed or assessed, reason not specified","Ungrouped Codes",""
"320","G8741","HCPC","XX0000","Patient not treated for spoken language comprehension disorder","Ungrouped Codes",""
"321","G8742","HCPC","XX0000","Patient not treated for attention disorder","Ungrouped Codes",""
"322","G8743","HCPC","XX0000","Patient not treated for memory disorder","Ungrouped Codes",""
"323","G8744","HCPC","XX0000","Patient not treated for motor speech disorder","Ungrouped Codes",""
"324","G8745","HCPC","XX0000","Patient not treated for reading disorder","Ungrouped Codes",""
"325","G8746","HCPC","XX0000","Patient not treated for spoken language expression disorder","Ungrouped Codes",""
"326","G8747","HCPC","XX0000","Patient not treated for writing disorder","Ungrouped Codes",""
"327","G8748","HCPC","XX0000","Patient not treated for swallowing disorder","Ungrouped Codes",""
"328","G8749","HCPC","XX0000","Absence of signs of melanoma (cough, dyspnea, tenderness, localized neurologic signs such as weakness, jaundice or any other sign suggesting systemic spread) or absence of symptoms of melanoma (pain, paresthesia, or any other symptom suggesting the p","Ungrouped Codes",""
"329","G8750","HCPC","XX0000","Presence of signs of melanoma (cough, dyspnea, tenderness, localized neurologic signs such as weakness, jaundice or any other sign suggesting systemic spread) or presence of symptoms of melanoma (pain, paresthesia, or any other symptom suggesting the","Ungrouped Codes",""
"330","G8751","HCPC","XX0000","Smoking status and exposure to secondhand smoke in the home not assessed, reason not specified","Ungrouped Codes",""
"331","G8752","HCPC","XX0000","Most recent systolic blood pressure < 140 mm Hg","Ungrouped Codes",""
"332","G8753","HCPC","XX0000","Most recent systolic blood pressure >= 140 mm Hg","Ungrouped Codes",""
"333","G8754","HCPC","XX0000","Most recent diastolic blood pressure < 90 mm Hg","Ungrouped Codes",""
"334","G8755","HCPC","XX0000","Most recent diastolic blood pressure >= 90 mm Hg","Ungrouped Codes",""
"335","G8756","HCPC","XX0000","No documentation of blood pressure measurement, reason not otherwise specified","Ungrouped Codes",""
"336","G8757","HCPC","XX0000","All quality actions for the applicable measures in the chronic obstructive pulmonary disease measures group have been performed for this patient","Ungrouped Codes",""
"337","G8758","HCPC","XX0000","All quality actions for the applicable measures in the inflammatory bowel disease measures group have been performed for this patient","Ungrouped Codes",""
"338","G8759","HCPC","XX0000","All quality actions for the applicable measures in the obstructive sleep apnea measures group have been performed for this patient","Ungrouped Codes",""
"339","G8760","HCPC","XX0000","All quality actions for the applicable measures in the epilepsy measures group have been performed for this patient","Ungrouped Codes",""
"340","G8761","HCPC","XX0000","All quality actions for the applicable measures in the dementia measures group have been performed for this patient","Ungrouped Codes",""
"341","G8762","HCPC","XX0000","All quality actions for the applicable measures in the Parkinson's disease measures group have been performed for this patient","Ungrouped Codes",""
"342","G8763","HCPC","XX0000","All quality actions for the applicable measures in the hypertension measures group have been performed for this patient","Ungrouped Codes",""
"343","G8764","HCPC","XX0000","All quality actions for the applicable measures in the cardiovascular prevention measures group have been performed for this patient","Ungrouped Codes",""
"344","G8765","HCPC","XX0000","All quality actions for the applicable measures in the cataract measures group have been performed for this patient","Ungrouped Codes",""
"345","G8767","HCPC","XX0000","Lipid panel results documented and reviewed (must include total cholesterol, HDL-C, triglycerides and calculated LDL-C)","Ungrouped Codes",""
"346","G8768","HCPC","XX0000","Documentation of medical reason(s) for not performing lipid profile (e.g., patients with palliative goals or for whom treatment of hypertension with standard treatment goals is not clinically appropriate)","Ungrouped Codes",""
"347","G8769","HCPC","XX0000","Lipid profile not performed, reason not otherwise specified","Ungrouped Codes",""
"348","G8770","HCPC","XX0000","Urine protein test result documented and reviewed","Ungrouped Codes",""
"349","G8771","HCPC","XX0000","Documentation of diagnosis of chronic kidney disease","Ungrouped Codes",""
"350","G8772","HCPC","XX0000","Documentation of medical reason(s) for not performing urine protein test (e.g., patients with palliative goals or for whom treatment of hypertension with standard treatment goals is not cllinically appropriate)","Ungrouped Codes",""
"351","G8773","HCPC","XX0000","Urine protein test was not performed, reason not otherwise specified","Ungrouped Codes",""
"352","G8774","HCPC","XX0000","Serum creatinine test result documented and reviewed","Ungrouped Codes",""
"353","G8775","HCPC","XX0000","Documentation of medical reason(s) for not performing serum creatinine test (e.g., patients with palliative goals or for whom treatment of hypertension with standard treatment goals is not clinically appropriate)","Ungrouped Codes",""
"354","G8776","HCPC","XX0000","Serum creatinine test not performed, reason not otherwise specified","Ungrouped Codes",""
"355","G8777","HCPC","XX0000","Diabetes screening test performed","Ungrouped Codes",""
"356","G8778","HCPC","XX0000","Documentation of medical reason(s) for not performing diabetes screening test (e.g., patients with a diagnosis of diabetes, or with palliative goals or for whom treatment of hypertension with standard treatment goals is not clinically appropriate)","Ungrouped Codes",""
"357","G8779","HCPC","XX0000","Diabetes screening test not performed, reason not otherwise specified","Ungrouped Codes",""
"358","G8780","HCPC","XX0000","Counseling for diet and physical activity performed","Ungrouped Codes",""
"359","G8781","HCPC","XX0000","Documentation of medical reason(s) for patient not receiving counseling for diet and physical activity (e.g., patients with palliative goals or for whom treatment of hypertension with standard treatment goals is not clinically appropriate)","Ungrouped Codes",""
"360","G8782","HCPC","XX0000","Counseling for diet and physical activity not performed, reason not otherwise specified","Ungrouped Codes",""
"361","G8783","HCPC","XX0000","Blood pressure screening performed as recommended by the defined screening interval","Ungrouped Codes",""
"362","G8784","HCPC","XX0000","Blood pressure reading not documented, documentation the patient is not eligible","Ungrouped Codes",""
"363","G8785","HCPC","XX0000","Blood pressure screening not performed as recommended by screening interval, reason not otherwise specified","Ungrouped Codes",""
"364","G8786","HCPC","XX0000","Severity of angina assessed according to level of activity","Ungrouped Codes",""
"365","G8787","HCPC","XX0000","Angina assessed as present","Ungrouped Codes",""
"366","G8788","HCPC","XX0000","Angina assessed as absent","Ungrouped Codes",""
"367","G8789","HCPC","XX0000","Severity of angina not assessed according to level of activity","Ungrouped Codes",""
"368","G8790","HCPC","XX0000","Most recent office visit systolic blood pressure < 130 mm Hg","Ungrouped Codes",""
"369","G8791","HCPC","XX0000","Most recent office visit systolic blood pressure, 130-139 mm Hg","Ungrouped Codes",""
"370","G8792","HCPC","XX0000","Most recent office visit systolic blood pressure >= 140 mm Hg","Ungrouped Codes",""
"371","G8793","HCPC","XX0000","Most recent office visit diastolic blood pressure, < 80 mm Hg","Ungrouped Codes",""
"372","G8794","HCPC","XX0000","Most recent office visit diastolic blood pressure, 80-89 mm Hg","Ungrouped Codes",""
"373","G8795","HCPC","XX0000","Most recent office visit diastolic blood pressure >= 90 mm Hg","Ungrouped Codes",""
"374","G8796","HCPC","XX0000","Blood pressure measurement not documented, reason not otherwise specified","Ungrouped Codes",""
"375","G8797","HCPC","XX0000","Specimen site other than anatomic location of esophagus","Ungrouped Codes",""
"376","G8798","HCPC","XX0000","Specimen site other than anatomic location of prostate","Ungrouped Codes",""
"377","G8799","HCPC","XX0000","Anticoagulation ordered","Ungrouped Codes",""
"378","G8800","HCPC","XX0000","Anticoagulation not ordered for reasons documented by clinician","Ungrouped Codes",""
"379","G8801","HCPC","XX0000","Anticoagulation was not ordered, reason not specified","Ungrouped Codes",""
"380","G8802","HCPC","XX0000","Pregnancy test (urine or serum) ordered","Ungrouped Codes",""
"381","G8803","HCPC","XX0000","Pregnancy test (urine or serum) not ordered for reasons documented by clinician","Ungrouped Codes",""
"382","G8805","HCPC","XX0000","Pregnancy test (urine or serum) was not ordered, reason not specified","Ungrouped Codes",""
"383","G8806","HCPC","XX0000","Performance of transabdominal or transvaginal ultrasound","Ungrouped Codes",""
"384","G8807","HCPC","XX0000","Transabdominal or transvaginal ultrasound not performed for reasons documented by clinician","Ungrouped Codes",""
"385","G8808","HCPC","XX0000","Performance of trans-abdominal or trans-vaginal ultrasound not ordered, reason not given (e.g., patient has visited the ED multiple times with no documentation of a trans-abdominal or trans-vaginal ultrasound within ED or from referring eligible prof","Ungrouped Codes",""
"386","G8809","HCPC","XX0000","Rh immune globulin (RhoGam) ordered","Ungrouped Codes",""
"387","G8810","HCPC","XX0000","Rh-immunoglobulin (RhoGAM) not ordered for reasons documented by clinician (e.g., patient had prior documented receipt of RhoGAM within 12 weeks, patient refusal)","Ungrouped Codes",""
"388","G8811","HCPC","XX0000","Documentation Rh immune globulin (RhoGam) was not ordered, reason not specified","Ungrouped Codes",""
"389","G8812","HCPC","XX0000","Patient is not eligible for follow-up CTA, duplex, or MRA","Ungrouped Codes",""
"390","G8813","HCPC","XX0000","Follow-up CTA, duplex, or MRA of the abdomen and pelvis performed","Ungrouped Codes",""
"391","G8814","HCPC","XX0000","Follow-up CTA, duplex, or MRA of the abdomen and pelvis not performed","Ungrouped Codes",""
"392","G8815","HCPC","XX0000","Statin therapy not prescribed for documented reasons","Ungrouped Codes",""
"393","G8816","HCPC","XX0000","Statin medication prescribed at discharge","Ungrouped Codes",""
"394","G8817","HCPC","XX0000","Statin therapy not prescribed at discharge, reason not specified","Ungrouped Codes",""
"395","G8818","HCPC","XX0000","Patient discharge to home no later than postoperative day #7","Ungrouped Codes",""
"396","G8819","HCPC","XX0000","Aneurysm minor diameter <= 5.5 cm","Ungrouped Codes",""
"397","G8820","HCPC","XX0000","Aneurysm minor diameter 5.6-6.0 cm","Ungrouped Codes",""
"398","G8821","HCPC","XX0000","Abdominal aortic aneurysm is not infrarenal","Ungrouped Codes",""
"399","G8822","HCPC","XX0000","Male patients with aneurysms minor diameter > 6 cm","Ungrouped Codes",""
"400","G8823","HCPC","XX0000","Female patients with aneurysm minor diameter > 6 cm","Ungrouped Codes",""
"401","G8824","HCPC","XX0000","Female patients with aneurysm minor diameter 5.6-6.0 cm","Ungrouped Codes",""
"402","G8825","HCPC","XX0000","Patient not discharged to home by postoperative day #7","Ungrouped Codes",""
"403","G8826","HCPC","XX0000","Patient discharged to home no later than postoperative day #2 following EVAR","Ungrouped Codes",""
"404","G8827","HCPC","XX0000","Aneurysm minor diameter <= 5.5 cm for women","Ungrouped Codes",""
"405","G8828","HCPC","XX0000","Aneurysm minor diameter <= 5.5 cm for men","Ungrouped Codes",""
"406","G8829","HCPC","XX0000","Aneurysm minor diameter 5.6-6.0 cm for men","Ungrouped Codes",""
"407","G8830","HCPC","XX0000","Aneurysm minor diameter > 6 cm for men","Ungrouped Codes",""
"408","G8831","HCPC","XX0000","Aneurysm minor diameter > 6 cm for women","Ungrouped Codes",""
"409","G8832","HCPC","XX0000","Aneurysm minor diameter 5.6-6.0 cm for women","Ungrouped Codes",""
"410","G8833","HCPC","XX0000","Patient not discharged to home by postoperative day #2 following EVAR","Ungrouped Codes",""
"411","G8834","HCPC","XX0000","Patient discharged to home no later than postoperative day #2 following CEA","Ungrouped Codes",""
"412","G8835","HCPC","XX0000","Asymptomatic patient with no history of any transient ischemic attack or stroke in any carotid or vertebrobasilar territory","Ungrouped Codes",""
"413","G8836","HCPC","XX0000","Symptomatic patient with ipsilateral stroke or TIA within 120 days prior to CEA","Ungrouped Codes",""
"414","G8837","HCPC","XX0000","Other symptomatic patient with ipsilateral carotid territory TIA or stroke > 120 days prior to CEA, or contralateral carotid territory TIA or stroke or vertebrobasilar TIA or stroke","Ungrouped Codes",""
"415","G8838","HCPC","XX0000","Patient not discharged to home by postoperative day #2","Ungrouped Codes",""
"416","G8839","HCPC","XX0000","Sleep apnea symptoms assessed, including presence or absence of snoring and daytime sleepiness","Ungrouped Codes",""
"417","G8840","HCPC","XX0000","Documentation of reason(s) for not performing an assessment of sleep symptoms (e.g., patient didn't have initial daytime sleepiness, patient visits between initial testing and initiation of therapy)","Ungrouped Codes",""
"418","G8841","HCPC","XX0000","Sleep apnea symptoms not assessed, reason not otherwise specified","Ungrouped Codes",""
"419","G8842","HCPC","XX0000","Apnea hypopnea index (AHI) or respiratory disturbance index (RDI) measured at the time of initial diagnosis","Ungrouped Codes",""
"420","G8843","HCPC","XX0000","Documentation of reason(s) for not measuring an apnea hypopnea index (AHI) or a respiratory disturbance index (RDI) at the time of initial diagnosis","Ungrouped Codes",""
"421","G8844","HCPC","XX0000","Apnea hypopna index (AHI) or respiratory disturbance index (RDI) not measured at the time of initial diagnosis, reason not specified","Ungrouped Codes",""
"422","G8845","HCPC","XX0000","Positive airway pressure therapy prescribed","Ungrouped Codes",""
